grid,column,row,Richness,Mesotopo,Slop_proc,Fluv_proc,Soil_text,Bio_crust,Burrows,Bioturbation,Aspect,Northness,Eastness,Soil_dept_mean,Vege_heig_max,Slope_angle,pH,soil_carbon,Soil_moist_4_final,Soil_temp_4_adj,,,,,,,,,,,,,,,,,,
1,H,14,15,4,2,1,3,0,0,0,60,0.5,0.87,7.67,20,10.9,4.535,2.958181818,32.86665421,15.35663194,,,,,,,,,,,,,,,,,,
1,A,15,12,3,1,1,3,5,0,0,80,0.17,0.98,8.67,18,7.7,4.645,1.670909091,33.2748397,14.64555556,,,,,,,,,,,,,,,,,,
1,B,15,8,3,0,1,4,10,0,0,65,0.42,0.91,4.67,15,6.9,4.636666667,1.915151515,25.98302519,14.93447917,,,,,,,,,,,,,,,,,,
1,C,15,1,3,0,1,6,0,0,0,65,0.42,0.91,1,3,7.3,4.56,2.159393939,24.79121068,14.72340278,,,,,,,,,,,,,,,,,,
1,D,15,11,4,1,1,3,10,0,0,30,0.87,0.5,6,53,13.3,4.483333333,2.342857143,NA,NA,,,,,,,,,,,,,,,,,,
1,E,15,10,5,1,0,3,5,0,0,75,0.26,0.97,20,19,14.4,4.491666667,2.836190476,27.50758167,14.50125,,,,,,,,,,,,,,,,,,
1,F,15,13,5,1,0,3,0,0,0,70,0.34,0.94,13,24,12.5,4.5,2.949545455,25.71576716,15.19017361,,,,,,,,,,,,,,,,,,
1,G,15,15,5,1,0,3,0,0,0,70,0.34,0.94,17.33,23,12.9,4.56,3.090681818,22.62395265,14.27909722,,,,,,,,,,,,,,,,,,
1,H,15,13,5,2,0,3,0,0,0,75,0.26,0.97,22.67,24,10.5,4.62,3.231818182,19.63213814,15.06802083,,,,,,,,,,,,,,,,,,
1,A,16,14,4,0,0,3,5,0,0,20,0.94,0.34,6.67,17,7.3,4.61,1.812727273,NA,NA,,,,,,,,,,,,,,,,,,
1,B,16,12,6,0,0,5,2,0,0,75,0.26,0.97,7.33,23,16.3,4.601666667,2.056969697,NA,NA,,,,,,,,,,,,,,,,,,
1,C,16,16,6,1,0,5,0,0,0,80,0.17,0.98,9.33,26,18.2,4.593333333,2.280952381,22.95669461,15.43479167,,,,,,,,,,,,,,,,,,
1,D,16,11,6,2,0,5,1,0,0,75,0.26,0.97,8,28,18.9,4.516666667,2.454285714,25.26488011,15.42371528,,,,,,,,,,,,,,,,,,
1,E,16,17,6,2,0,3,0,0,0,70,0.34,0.94,13.33,30,11.7,4.525,3.220952381,22.3730656,15.41263889,,,,,,,,,,,,,,,,,,
1,F,16,12,6,2,0,3,0,0,0,80,0.17,0.98,12.33,31,7.3,4.585,3.223181818,28.68125109,15.2015625,,,,,,,,,,,,,,,,,,
1,G,16,16,6,1,0,3,0,0,0,70,0.34,0.94,17.33,21,9.3,4.645,3.364318182,29.48943658,14.89048611,,,,,,,,,,,,,,,,,,
1,H,16,10,6,1,0,3,0,0,0,60,0.5,0.87,15.67,41,10.5,4.705,3.505454545,29.79762207,14.97940972,,,,,,,,,,,,,,,,,,
1,A,17,2,6,0,0,6,1,0,0,20,0.94,0.34,0,0,13.7,4.575,1.954545455,27.90580756,15.76833333,,,,,,,,,,,,,,,,,,
1,B,17,12,7,0,0,5,3,0,0,75,0.26,0.97,6,21,13.3,4.566666667,2.198787879,NA,NA,,,,,,,,,,,,,,,,,,
1,C,17,12,7,1,0,5,1,0,0,80,0.17,0.98,4,20,12.5,4.558333333,2.392380952,NA,NA,,,,,,,,,,,,,,,,,,
1,D,17,13,7,2,0,3,2,0,0,75,0.26,0.97,3.67,17,5.3,4.55,2.565714286,23.33036404,14.33510417,,,,,,,,,,,,,,,,,,
1,E,17,14,6,2,0,3,0,0,0,70,0.34,0.94,11.67,27,6.5,4.61,3.605714286,25.83854953,14.72402778,,,,,,,,,,,,,,,,,,
1,F,17,12,5,2,0,3,0,0,0,80,0.17,0.98,11.33,40,5.7,4.67,3.552380952,29.14673502,15.21295139,,,,,,,,,,,,,,,,,,
1,G,17,14,5,1,0,3,0,0,0,70,0.34,0.94,11.67,40,6.1,4.73,3.637954545,26.35492051,14.601875,,,,,,,,,,,,,,,,,,
1,H,17,16,5,1,0,3,0,0,0,60,0.5,0.87,14.33,27,9.3,4.79,3.779090909,27.963106,15.69079861,,,,,,,,,,,,,,,,,,
1,A,18,3,7,0,0,5,1,0,0,75,0.26,0.97,2.33,15,17.1,4.54,2.096363636,NA,NA,,,,,,,,,,,,,,,,,,
1,B,18,1,8,0,0,5,0,0,0,85,0.09,1,2.67,4,14.4,4.531666667,2.33047619,NA,NA,,,,,,,,,,,,,,,,,,
1,C,18,5,7,2,0,5,2,0,0,70,0.34,0.94,4,15,12.1,4.523333333,2.503809524,26.38766248,14.35756944,,,,,,,,,,,,,,,,,,
1,D,18,11,7,2,0,3,0,0,0,90,0,1,4.67,20,10.9,4.41,2.677142857,27.69584797,14.94649306,,,,,,,,,,,,,,,,,,
1,E,18,13,5,2,0,3,0,0,0,70,0.34,0.94,12,23,9.7,4.47,3.99047619,29.50403346,15.13541667,,,,,,,,,,,,,,,,,,
1,F,18,13,4,2,0,3,0,0,0,75,0.26,0.97,11.33,24,8.1,4.53,3.937142857,29.31221895,15.32434028,,,,,,,,,,,,,,,,,,
1,G,18,13,4,1,0,5,0,0,0,90,0,1,16.67,34,17.4,4.581666667,3.911590909,24.42040444,15.61326389,,,,,,,,,,,,,,,,,,
1,H,18,8,7,0,0,5,0,0,0,90,0,1,9.67,44,25.6,4.616666667,4.052727273,21.12858993,16.5021875,,,,,,,,,,,,,,,,,,
1,A,19,8,8,1,0,6,2,0,0,70,0.34,0.94,4,60,10.9,4.505,2.238181818,20.63677543,15.39111111,,,,,,,,,,,,,,,,,,
1,B,19,11,8,2,0,5,0,0,0,70,0.34,0.94,3.67,53,21.8,4.496666667,2.441904762,21.64496092,16.08003472,,,,,,,,,,,,,,,,,,
1,C,19,16,8,2,0,5,0,0,0,85,0.09,1,2.33,19,27.5,4.383333333,2.615238095,26.55314641,15.96895833,,,,,,,,,,,,,,,,,,
1,D,19,15,7,2,0,4,0,0,0,85,0.09,1,5.67,19,22.2,4.27,2.788571429,16.9613319,15.15788194,,,,,,,,,,,,,,,,,,
1,E,19,11,5,1,0,5,0,0,0,85,0.09,1,4.33,19,26.2,4.33,4.375238095,22.36951739,15.94680556,,,,,,,,,,,,,,,,,,
1,F,19,12,4,1,0,5,0,0,0,90,0,1,4.33,41,26.9,4.373333333,4.321904762,27.67770288,14.93572917,,,,,,,,,,,,,,,,,,
1,G,19,11,6,1,0,5,2,0,0,70,0.34,0.94,8.67,20,22.2,4.408333333,4.268571429,18.28588837,14.52465278,,,,,,,,,,,,,,,,,,
1,H,19,6,8,0,0,5,1,0,0,70,0.34,0.94,7.67,17,11.3,4.443333333,4.326363636,24.39407387,13.81357639,,,,,,,,,,,,,,,,,,
1,A,20,5,9,0,0,5,0,0,0,60,0.5,0.87,1.67,51,25.6,4.47,2.38,9.502259357,15.4025,,,,,,,,,,,,,,,,,,
1,B,20,5,10,0,0,5,0,0,0,75,0.26,0.97,4.67,52,19.3,4.356666667,2.553333333,11.31044485,14.59142361,,,,,,,,,,,,,,,,,,
1,C,20,11,10,0,0,5,0,0,0,80,0.17,0.98,4.33,25,8.9,4.243333333,2.726666667,19.81863034,15.48034722,,,,,,,,,,,,,,,,,,
1,D,20,9,10,0,0,5,0,0,0,85,0.09,1,2,21,10.9,4.13,2.9,16.32681583,15.36927083,,,,,,,,,,,,,,,,,,
1,E,20,10,9,0,0,5,0,0,0,80,0.17,0.98,2.67,40,9.7,4.165,4.76,9.935001323,14.15819444,,,,,,,,,,,,,,,,,,
1,F,20,10,9,0,0,5,0,0,0,90,0,1,1.67,19,18.2,4.2,4.706666667,10.14318681,15.04711806,,,,,,,,,,,,,,,,,,
1,G,20,13,9,1,0,4,1,0,0,85,0.09,1,3.33,20,21.8,4.235,4.653333333,25.75137231,15.03604167,,,,,,,,,,,,,,,,,,
1,H,20,10,9,1,0,5,0,0,0,75,0.26,0.97,6.33,44,22.9,4.27,4.6,23.96774329,14.31388889,,,,,,,,,,,,,,,,,,
2,A,1,18,7,1,0,1,0,0,0,225,-0.71,-0.71,61,33,6.9,5.22,NA,28.49355124,13.11388889,,,,,,,,,,,,,,,,,,
2,B,1,20,6,2,0,1,0,0,0,220,-0.77,-0.64,61,42,10.9,5.133333333,NA,24.60413593,12.03628472,,,,,,,,,,,,,,,,,,
2,C,1,11,6,2,0,1,0,0,0,210,-0.87,-0.5,61,24,7.7,5.046666667,NA,18.41472061,12.33368056,,,,,,,,,,,,,,,,,,
2,D,1,12,6,1,0,1,0,0,0,220,-0.77,-0.64,61,21,10.5,4.96,NA,22.6253053,12.13107639,,,,,,,,,,,,,,,,,,
2,E,1,12,6,1,0,1,0,0,0,220,-0.77,-0.64,61,30,8.5,4.8625,NA,14.13588999,12.12847222,,,,,,,,,,,,,,,,,,
2,F,1,13,6,1,0,1,0,0,0,215,-0.82,-0.57,61,28,11.3,4.765,NA,21.64647467,12.52586806,,,,,,,,,,,,,,,,,,
2,G,1,12,6,1,0,1,0,0,0,230,-0.64,-0.77,61,24,7.7,4.6675,NA,16.05705936,12.52326389,,,,,,,,,,,,,,,,,,
2,H,1,11,6,1,0,1,0,0,0,235,-0.57,-0.82,61,30,8.5,4.57,3.04,17.56764405,12.12065972,,,,,,,,,,,,,,,,,,
2,A,2,19,7,1,0,1,0,0,0,230,-0.64,-0.77,61,42,10.5,5.1225,NA,36.47822874,13.21805556,,,,,,,,,,,,,,,,,,
2,B,2,13,6,1,0,1,0,0,0,230,-0.64,-0.77,61,25,10.5,5.035833333,NA,30.98881342,11.71545139,,,,,,,,,,,,,,,,,,
2,C,2,13,6,1,0,1,0,0,0,230,-0.64,-0.77,61,24,10.1,4.949166667,NA,21.09939811,11.41284722,,,,,,,,,,,,,,,,,,
